stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixationn.started,grating.started,key_resp.started,fixationn.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
1,0.5,1,46.536151,,46.5204022,46.536151,47.0196237,47.0196237,47.0362073,47.3194528,47.4371079,right,1,1,1,0.4015966,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
2,0.5,1.5,18.3360789,,18.3202992,18.3360789,18.8194377,18.8194377,18.8361907,19.1194141,19.4202468,left,-1.5,1,1,0.584683,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
3,1,1,15.2024461,,15.1868745,15.2024461,15.686573,15.686573,15.7032327,15.9865475,16.3201283,left,-1,1,1,0.6166413,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
4,2,1,7.8529096,,7.8375356,7.8529096,8.3529481,8.3529481,8.3529481,8.6526868,8.7537556,right,1,1,1,0.3905369,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
5,0.5,2,54.2267989,,54.2112358,54.2267989,54.7268938,54.7268938,54.7268938,55.0268318,55.2278875,right,2,1,1,0.4887802,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
,,,,,,,,,,,,,0.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,tilt,stair.thisTrialN,,,tilt,stair.response,,,,,,,,,,,,,,,
,,,-10,1,,,-10,1,,,,,,,,,,,,,,,
,,,-8,2,,,-8,1,,,,,,,,,,,,,,,
,,,6,3,,,6,1,,,,,,,,,,,,,,,
,,,4,4,,,4,1,,,,,,,,,,,,,,,
,,,-2,5,,,-2,1,,,,,,,,,,,,,,,
,,,-1,6,,,-1,1,,,,,,,,,,,,,,,
,,,-1,7,,,-1,1,,,,,,,,,,,,,,,
,,,-1,8,,,-1,1,,,,,,,,,,,,,,,
,,,1,9,,,1,1,,,,,,,,,,,,,,,
,,,-1,10,,,-1,1,,,,,,,,,,,,,,,
,,,-1,11,,,-1,1,,,,,,,,,,,,,,,
,,,-1,12,,,-1,1,,,,,,,,,,,,,,,
,,,1,13,,,1,1,,,,,,,,,,,,,,,
,,,-1,14,,,-1,1,,,,,,,,,,,,,,,
,,,-1,15,,,-1,1,,,,,,,,,,,,,,,
,,,-1,16,,,-1,0,,,,,,,,,,,,,,,
,,,-2,17,,,-2,1,,,,,,,,,,,,,,,
,,,2,18,,,2,1,,,,,,,,,,,,,,,
,,,2,19,,,2,1,,,,,,,,,,,,,,,
,,,1,20,,,1,1,,,,,,,,,,,,,,,
,,,-1,21,,,-1,1,,,,,,,,,,,,,,,
,,,1,22,,,1,1,,,,,,,,,,,,,,,
,,,1,23,,,1,1,,,,,,,,,,,,,,,
,,,-1,24,,,-1,1,,,,,,,,,,,,,,,
,,,-1,25,,,-1,1,,,,,,,,,,,,,,,
,,,-1,26,,,-1,1,,,,,,,,,,,,,,,
,,,1,27,,,1,1,,,,,,,,,,,,,,,
,,,-1,28,,,-1,0,,,,,,,,,,,,,,,
,,,-1.5,29,,,-1.5,1,,,,,,,,,,,,,,,
,,,-1.5,30,,,-1.5,1,,,,,,,,,,,,,,,
,,,1.5,31,,,1.5,1,,,,,,,,,,,,,,,
,,,1,32,,,1,1,,,,,,,,,,,,,,,
,,,1,33,,,1,1,,,,,,,,,,,,,,,
,,,1,34,,,1,1,,,,,,,,,,,,,,,
,,,-1,35,,,-1,0,,,,,,,,,,,,,,,
,,,-1.5,36,,,-1.5,1,,,,,,,,,,,,,,,
,,,-1.5,37,,,-1.5,1,,,,,,,,,,,,,,,
,,,1.5,38,,,1.5,1,,,,,,,,,,,,,,,
,,,-1,39,,,-1,1,,,,,,,,,,,,,,,
,,,-1,40,,,-1,1,,,,,,,,,,,,,,,
,,,1,41,,,1,1,,,,,,,,,,,,,,,
,,,1,42,,,1,0,,,,,,,,,,,,,,,
,,,-1.5,43,,,-1.5,1,,,,,,,,,,,,,,,
,,,-1.5,44,,,-1.5,1,,,,,,,,,,,,,,,
,,,1.5,45,,,1.5,1,,,,,,,,,,,,,,,
,,,1,46,,,1,0,,,,,,,,,,,,,,,
,,,1.5,47,,,1.5,1,,,,,,,,,,,,,,,
,,,-1.5,48,,,-1.5,0,,,,,,,,,,,,,,,
,,,2,49,,,2,1,,,,,,,,,,,,,,,
,,,-2,50,,,-2,0,,,,,,,,,,,,,,,
,,,-10,51,,,-10,1,,,,,,,,,,,,,,,
,,,8,52,,,8,1,,,,,,,,,,,,,,,
,,,6,53,,,6,1,,,,,,,,,,,,,,,
,,,-4,54,,,-4,1,,,,,,,,,,,,,,,
,,,-2,55,,,-2,1,,,,,,,,,,,,,,,
,,,-1,56,,,-1,1,,,,,,,,,,,,,,,
,,,1,57,,,1,1,,,,,,,,,,,,,,,
,,,1,58,,,1,1,,,,,,,,,,,,,,,
,,,1,59,,,1,1,,,,,,,,,,,,,,,
,,,-1,60,,,-1,0,,,,,,,,,,,,,,,
,,,2,61,,,2,1,,,,,,,,,,,,,,,
,,,2,62,,,2,1,,,,,,,,,,,,,,,
,,,-2,63,,,-2,1,,,,,,,,,,,,,,,
,,,-1,64,,,-1,1,,,,,,,,,,,,,,,
,,,-1,65,,,-1,1,,,,,,,,,,,,,,,
,,,-1,66,,,-1,1,,,,,,,,,,,,,,,
,,,-1,67,,,-1,0,,,,,,,,,,,,,,,
,,,1.5,68,,,1.5,1,,,,,,,,,,,,,,,
,,,-1.5,69,,,-1.5,1,,,,,,,,,,,,,,,
,,,-1.5,70,,,-1.5,0,,,,,,,,,,,,,,,
,,,-2,71,,,-2,1,,,,,,,,,,,,,,,
,,,-2,72,,,-2,1,,,,,,,,,,,,,,,
,,,2,73,,,2,1,,,,,,,,,,,,,,,
,,,1.5,74,,,1.5,1,,,,,,,,,,,,,,,
,,,1.5,75,,,1.5,1,,,,,,,,,,,,,,,
,,,1.5,76,,,1.5,1,,,,,,,,,,,,,,,
,,,1,77,,,1,1,,,,,,,,,,,,,,,
,,,1,78,,,1,1,,,,,,,,,,,,,,,
,,,-1,79,,,-1,1,,,,,,,,,,,,,,,
,,,-1,80,,,-1,1,,,,,,,,,,,,,,,
,,,1,81,,,1,1,,,,,,,,,,,,,,,
,,,-1,82,,,-1,1,,,,,,,,,,,,,,,
,,,-1,83,,,-1,1,,,,,,,,,,,,,,,
,,,1,84,,,1,1,,,,,,,,,,,,,,,
,,,-1,85,,,-1,1,,,,,,,,,,,,,,,
,,,-1,86,,,-1,1,,,,,,,,,,,,,,,
,,,-1,87,,,-1,1,,,,,,,,,,,,,,,
,,,1,88,,,1,1,,,,,,,,,,,,,,,
,,,1,89,,,1,1,,,,,,,,,,,,,,,
,,,-1,90,,,-1,1,,,,,,,,,,,,,,,
,,,-1,91,,,-1,1,,,,,,,,,,,,,,,
,,,-1,92,,,-1,1,,,,,,,,,,,,,,,
,,,1,93,,,1,1,,,,,,,,,,,,,,,
,,,1,94,,,1,1,,,,,,,,,,,,,,,
,,,-1,95,,,-1,0,,,,,,,,,,,,,,,
,,,1.5,96,,,1.5,1,,,,,,,,,,,,,,,
,,,1.5,97,,,1.5,1,,,,,,,,,,,,,,,
,,,-1.5,98,,,-1.5,1,,,,,,,,,,,,,,,
,,,1,99,,,1,1,,,,,,,,,,,,,,,
,,,1,100,,,1,1,,,,,,,,,,,,,,,
,,,-0.19,,,,,,,,,,,,,,,,,,,,
