stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixationn.started,grating.started,key_resp.started,fixationn.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
25,1,1,28.1100509,,28.0942368,28.1100509,28.5933487,28.5933487,28.6101062,28.893276,29.4442668,left,-1,1,1,0.8438325,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
26,1,1,29.4599593,,29.4443669,29.4599593,29.9433809,29.9433809,29.960133,30.2432466,30.6942238,left,-1,1,1,0.734929,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
27,1,1,30.7100064,,30.6942941,30.7100064,31.193501,31.193501,31.210055,31.4933899,31.7776762,right,1,1,1,0.5790269,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
28,0.5,1,31.7933191,,31.7777659,31.7933191,32.2933597,32.2933597,32.2933597,32.5933323,32.8108299,left,-1,0,0,0.5124222,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
29,0.5,1.5,32.8267269,,32.8109022,32.8267269,33.3100553,33.3100553,33.3268023,33.6099372,33.9609637,left,-1.5,1,1,0.6408204,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
30,0.5,1.5,33.9766838,,33.961063,33.9766838,34.4600448,34.4600448,34.4767952,34.7599418,34.9609873,left,-1.5,1,1,0.4857268,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
31,0.5,1.5,34.9766602,,34.9610878,34.9766602,35.4767659,35.4767659,35.4767659,35.7766493,36.0109603,right,1.5,1,1,0.5179904,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
32,0.5,1,36.0267407,,36.0110696,36.0267407,36.5268277,36.5268277,36.5268277,36.8266927,37.2274834,right,1,1,1,0.6843891,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
33,0.5,1,37.2433793,,37.2275534,37.2433793,37.7267912,37.7267912,37.743569,38.0266641,38.41094,right,1,1,1,0.6783673,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
34,0.5,1,38.4267468,,38.4110106,38.4267468,38.9101552,38.9101552,38.9268555,39.2100436,39.377544,right,1,1,1,0.4573445,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
